FinnishName;ScientificName;type_of_occurrence;status;authority_status;synonyms
etelänruostesammal;Anomodon rugelii;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Anomodontopsis rugelii (Mll.Hal.) Ignatov & Fedosov
ahdinsammal;Rhynchostegium riparioides;Vakiintunut;NT (2019);VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi;Platyhypnidium riparioides (Hedw.) Dixon
purokatvesammal;Callicladium haldanianum;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola;
hiuskoukkusammal;Dichelyma capillaceum;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
suvantonäkinsammal;Fontinalis dichelymoides;Vakiintunut;NT (2019);VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi;
tulvasammal;Myrinia pulvinata;Vakiintunut;NT (2019);VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi;
korpihohtosammal;Herzogiella turfacea;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
purolaakasammal;Plagiothecium platyphyllum;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Plagiothecium sylvaticum (Brid.) Schimp.
lapinsirppisammal;Hamatocaulis lapponicus;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
kiiltosirppisammal;Hamatocaulis vernicosus;Vakiintunut;NT (2019);Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Limprichtia vernicosa (Mitt.) Loeske  Drepanocladus vernicosus (Mitt.) Warnst.  Scorpidium vernicosum (Mitt.) Tuom.
kenosammal;Amblyodon dealbatus;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
pohjannuijasammal;Meesia hexasticha;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
lapinmarrassammal;Tayloria splachnoides;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
haisumarrassammal;Tayloria tenuis;Vakiintunut;NT (2019);VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi;
piirtosammal;Aongstroemia longipes;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
kääpiösiipisammal;Fissidens exilis;Vakiintunut;NT (2019);Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi;
hentosiipisammal;Fissidens gracilifolius;Vakiintunut;CR (2019);nan;Fissidens viridulus var. tenuifolius (Boulay) A.J.E.Sm.
tulvasiipisammal;Fissidens gymnandrus;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo;Fissidens bryoides var. gymnandrus (Buse) R. Ruthe
turrisammal;Chionoloma tenuirostre;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Trichostomum tenuirostre (Hook. & Taylor) Lindb.  Weissia tenuirostris Hook. & Taylor  Didymodon tenuirostris (Hook. & Taylor) Wilson  Mollia tenuirostris (Hook. & Taylor) Lindb.  Tortella tenuirostris (Hook. & Taylor) A.J.E.Sm.  Tortula tenuirostris (Hook. & Wilson) Mitt.  Oxystegus tenuirostris (Hook. & Taylor) A.J.E.Sm.
tunturiahmansammal;Kiaeria starkei;Vakiintunut;NT (2019);Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi;
aarnisammal;Schistostega pennata;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
itukivisammal;Grimmia anomala;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
kuparikivisammal;Grimmia atrata;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);Streptocolea atrata (Miel. ex Hornsch.) Ochyra & ?arnowiec
kurkkiosammal;Grimmia mollis;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Hydrogrimmia mollis
lapintierasammal (alalaji);Racomitrium macounii subsp. alpinum;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Bucklandiella macounii subsp. alpinum
idänpaasisammal;Schistidium sibiricum;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);
pärskepaasisammal;Schistidium subjulaceum;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
suonipaasisammal;Schistidium venetum;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
kirjorahkasammal;Sphagnum subnitens;Vakiintunut;NT (2019);EU:n luontodirektiivin V-liite  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola;
kutrirahkasammal;Sphagnum contortum;Vakiintunut;NT (2019);EU:n luontodirektiivin V-liite  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko;
luhtarahkasammal;Sphagnum inundatum;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  EU:n luontodirektiivin V-liite  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
taigakarhunsammal;Polytrichum pallidisetum;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Polytrichastrum pallidisetum (Funck) G.L.Sm.
siloruutusammal;Conocephalum conicum;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Marchantia conica L.
vakoruutusammal;Conocephalum salebrosum;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
rutahankasammal;Riccia huebeneriana;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
etelänpaanusammal;Calypogeia fissa;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola;Mnium fissum L.
kantopihtisammal;Fuscocephaloziopsis catenulata;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Jungermannia catenulata Huebener  Cephalozia catenulata (Huebener) Lindb.
ryytisammal;Geocalyx graveolens;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Jungermannia graveolens Schrad.  Saccogyna graveolens (Schrad.) Lindb.
vesisiiransammal;Nardia compressa;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Jungermannia compressa Hook.
puropussisammal;Marsupella aquatica;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Jungermannia emarginata var. aquatica Lindenb.  Marsupella emarginata subsp. aquatica (Lindenb.) Meyl.
lapinpussisammal;Marsupella condensata;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);Gymnomitrion condensatum ngstr. ex C. Hartm.
kalliopussisammal;Marsupella emarginata;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Jungermannia emarginata Ehrh.  Marsupella emarginata subsp. emarginata
vuoripussisammal;Marsupella sparsifolia;Vakiintunut;NT (2019);VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4a Pohjoisboreaalinen  Koillismaa  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi;Sarcocyphos sparsifolius Lindb.
pohjanpussisammal;Marsupella sphacelata;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Jungermannia sphacelata Giesecke ex Lindenb.
pärskesammal;Eremonotus myriocarpus;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Jungermannia myriocarpa Carrington
